Learning Rate    Final Loss    Iteration Count
0.009            3.23E+01      1000.0             
0.010            3.23E+01      1000.0             
0.008            3.24E+01      1000.0             
0.011            3.24E+01      1000.0             
0.012            3.24E+01      1000.0             
0.013            3.24E+01      1000.0             
0.014            3.25E+01      1000.0             
0.015            3.25E+01      1000.0             
0.007            3.25E+01      1000.0             
0.016            3.26E+01      1000.0             
0.017            3.26E+01      1000.0             
0.018            3.27E+01      1000.0             
0.019            3.28E+01      1000.0             
0.020            3.28E+01      1000.0             
0.021            3.29E+01      1000.0             
0.022            3.30E+01      1000.0             
0.023            3.31E+01      1000.0             
0.006            3.32E+01      1000.0             
0.024            3.32E+01      1000.0             
0.025            3.33E+01      1000.0             
0.026            3.34E+01      1000.0             
0.027            3.35E+01      1000.0             
0.028            3.37E+01      1000.0             
0.029            3.38E+01      1000.0             
0.030            3.40E+01      1000.0             
0.031            3.41E+01      1000.0             
0.032            3.43E+01      1000.0             
0.033            3.45E+01      1000.0             
0.034            3.47E+01      1000.0             
0.035            3.49E+01      1000.0             
0.005            3.50E+01      1000.0             
0.036            3.52E+01      1000.0             
0.037            3.55E+01      1000.0             
0.038            3.59E+01      1000.0             
0.039            3.64E+01      1000.0             
0.040            3.70E+01      1000.0             
0.041            3.77E+01      1000.0             
0.042            3.86E+01      1000.0             
0.004            3.98E+01      1000.0             
0.043            3.99E+01      1000.0             
0.044            4.17E+01      1000.0             
0.045            4.42E+01      1000.0             
0.046            4.71E+01      1000.0             
0.048            4.90E+01      1000.0             
0.047            4.91E+01      1000.0             
0.003            5.16E+01      1000.0             
0.002            7.66E+01      1000.0             
0.049            8.44E+01      1000.0             
0.001            1.24E+02      1000.0             
0.051            2.24E+02      1000.0             
0.050            2.34E+02      1000.0             
0.052            2.91E+03      1000.0             
0.053            1.92E+04      1000.0             
0.054            2.96E+05      1000.0             
0.055            1.23E+07      1000.0             
0.057            1.75E+08      1000.0             
0.056            1.98E+08      1000.0             
0.058            6.99E+10      1000.0             
0.059            1.70E+12      1000.0             
0.060            1.97E+13      1000.0             
0.061            8.43E+13      1000.0             
0.062            2.25E+14      1000.0             
0.063            2.90E+15      1000.0             
0.064            1.18E+18      1000.0             
0.065            1.31E+20      1000.0             
0.066            1.67E+21      1000.0             
0.067            4.64E+23      1000.0             
0.068            1.08E+26      1000.0             
0.069            1.81E+27      1000.0             
0.070            9.36E+27      1000.0             
0.071            2.52E+31      1000.0             
0.072            8.25E+34      1000.0             
0.073            1.23E+37      1000.0             
0.074            8.54E+39      1000.0             
0.075            4.19E+41      1000.0             
0.076            1.01E+45      1000.0             
0.078            2.19E+46      1000.0             
0.077            5.25E+46      1000.0             
0.079            1.28E+49      1000.0             
0.080            1.00E+54      1000.0             
0.081            4.24E+56      1000.0             
0.082            6.98E+57      1000.0             
0.084            1.70E+60      1000.0             
0.083            5.31E+60      1000.0             
0.085            4.36E+63      1000.0             
0.086            6.64E+65      1000.0             
0.087            6.51E+68      1000.0             
0.088            1.07E+70      1000.0             
0.089            7.10E+70      1000.0             
0.090            4.25E+73      1000.0             
0.091            6.49E+75      1000.0             
0.093            3.07E+77      1000.0             
0.092            7.93E+77      1000.0             
0.094            1.09E+81      1000.0             
0.095            2.66E+82      1000.0             
0.096            1.69E+85      1000.0             
0.097            1.17E+88      1000.0             
0.098            8.31E+90      1000.0             
0.099            1.50E+94      1000.0             
