Learning Rate    Final Loss    Iteration Count
0.022            1.99E+01      1000.0             
0.021            2.51E+01      1000.0             
0.007            2.52E+01      1000.0             
0.008            2.64E+01      1000.0             
0.009            2.84E+01      1000.0             
0.006            2.87E+01      1000.0             
0.010            3.06E+01      1000.0             
0.011            3.30E+01      1000.0             
0.020            3.46E+01      1000.0             
0.012            3.58E+01      1000.0             
0.023            3.59E+01      1000.0             
0.013            3.87E+01      1000.0             
0.019            4.14E+01      1000.0             
0.014            4.16E+01      1000.0             
0.015            4.42E+01      1000.0             
0.018            4.52E+01      1000.0             
0.016            4.60E+01      1000.0             
0.017            4.66E+01      1000.0             
0.005            4.92E+01      1000.0             
0.024            6.96E+01      1000.0             
0.004            1.08E+02      1000.0             
0.025            1.18E+02      1000.0             
0.026            1.82E+02      1000.0             
0.034            2.03E+02      1000.0             
0.003            2.47E+02      1000.0             
0.027            2.66E+02      1000.0             
0.028            3.71E+02      1000.0             
0.029            5.02E+02      1000.0             
0.002            5.63E+02      1000.0             
0.030            6.54E+02      1000.0             
0.031            8.23E+02      1000.0             
0.032            1.02E+03      1000.0             
0.001            1.27E+03      1000.0             
0.033            1.27E+03      1000.0             
0.035            3.67E+04      1000.0             
0.037            4.49E+05      1000.0             
0.036            4.51E+05      1000.0             
0.038            1.27E+06      1000.0             
0.039            2.05E+10      1000.0             
0.040            6.82E+12      1000.0             
0.041            1.63E+15      1000.0             
0.042            1.17E+20      1000.0             
0.044            2.39E+22      1000.0             
0.043            5.15E+22      1000.0             
0.045            3.61E+26      1000.0             
0.046            2.31E+32      1000.0             
0.047            6.20E+34      1000.0             
0.048            6.41E+37      1000.0             
0.049            3.03E+41      1000.0             
0.050            2.98E+46      1000.0             
0.051            1.12E+50      1000.0             
0.052            3.51E+54      1000.0             
0.053            8.11E+58      1000.0             
0.054            8.39E+62      1000.0             
0.055            9.04E+65      1000.0             
0.056            7.92E+68      1000.0             
0.057            3.67E+72      1000.0             
0.058            6.43E+75      1000.0             
0.059            7.02E+77      1000.0             
0.060            6.57E+82      1000.0             
0.061            8.81E+85      1000.0             
0.062            2.70E+89      1000.0             
0.063            1.20E+91      1000.0             
0.064            3.72E+95      1000.0             
0.065            3.90E+98      1000.0             
0.066            8.71E+101     1000.0             
0.067            9.46E+108     1000.0             
0.068            1.56E+113     1000.0             
0.069            8.57E+117     1000.0             
0.070            1.22E+122     1000.0             
0.071            6.71E+126     1000.0             
0.072            4.48E+130     1000.0             
0.073            2.88E+135     1000.0             
0.074            5.36E+138     1000.0             
0.075            1.92E+143     1000.0             
0.076            6.55E+146     1000.0             
0.077            8.20E+148     1000.0             
0.078            7.13E+152     1000.0             
0.097            INF           1000.0             
0.096            INF           1000.0             
0.095            INF           1000.0             
0.094            INF           1000.0             
0.093            INF           1000.0             
0.092            INF           1000.0             
0.091            INF           1000.0             
0.090            INF           1000.0             
0.089            INF           1000.0             
0.087            INF           1000.0             
0.098            INF           1000.0             
0.086            INF           1000.0             
0.085            INF           1000.0             
0.084            INF           1000.0             
0.083            INF           1000.0             
0.082            INF           1000.0             
0.081            INF           1000.0             
0.080            INF           1000.0             
0.079            INF           1000.0             
0.088            INF           1000.0             
0.099            INF           1000.0             
